action_count,bot_fingerprint_score,click_intervals_count,click_timestamps_count,click_timestamps_max,click_timestamps_mean,click_timestamps_min,cursorAngleVariance,cursor_acceleration_count,cursor_acceleration_max,cursor_acceleration_mean,cursor_acceleration_std,cursor_curvature_count,cursor_curvature_max,cursor_curvature_mean,cursor_curvature_min,cursor_curvature_std,cursor_movement_entropy,cursor_movements_count,cursor_movements_mean_distance,cursor_movements_total_distance,cursor_speeds_count,cursor_speeds_max,cursor_speeds_mean,cursor_speeds_min,cursor_speeds_std,hesitation_count,hesitation_mean,hesitation_min,idle_time,is_automated_browser,key_hold_times_count,key_press_times_count,keyboard_patterns_count,keyboard_patterns_max,keyboard_patterns_mean,keyboard_patterns_min,label,micropause_count,micropause_min,mouseJitter_count,mouse_angle_entropy,mouse_movement_debug_currentSpeed,mouse_movement_debug_distance,mouse_movement_debug_dx,mouse_movement_debug_dy,mouse_num_pauses,paste_detected,scroll_changes,scroll_speed_mean,scroll_speed_std,scroll_speeds_count,scroll_speeds_mean,scroll_speeds_std,speed_calculation_debug_filteredSpeed,speed_calculation_debug_latestSpeed,speed_calculation_debug_rawSpeed,typing_interval_entropy
106,0.5,0,1,1749725901346.0,1749725901346.0,1749725901346.0,,23,8.396176268454521,2.4970524185578076,2.263745798528999,3,1.3753931369650658,1.0426989789873409,0.6773164254538204,0.2859244331306179,2.217854573590089,17,12.491936069922268,199.8709771187563,23,450.8522714170415,198.355516284049,47.83388753177148,127.73082463862016,0,0.0,0.0,0,False,13,12,13,1749725905098.0,1749725903736.1538,1749725902267.0,1,0,0.0,0,1.415380873109215,116.27389892154697,6.0,6,0,1.0,False,0,,,0,0.0,0.0,116.27389892154697,116.27389892154697,116.27389892154697,1.5427904515006023
149,0.5,0,1,1749725916852.0,1749725916852.0,1749725916852.0,,17,12.779252180026727,4.518584493922795,3.610679968504164,2,0.959924427647116,0.8863846688965582,0.8128449101460002,0.0735397587505579,2.208639278513371,14,16.993112748398673,220.91046572918273,17,677.5581020352624,279.8191574202728,19.990058656542097,189.636378570042,0,0.0,0.0,0,False,18,17,18,1749725921872.0,1749725919854.8333,1749725917746.0,0,0,0.0,0,1.5396603100909392,21.972424325459258,9.433981132056603,8,-5,1.0,False,0,,,0,0.0,0.0,21.972424325459258,21.972424325459258,21.972424325459258,1.366379964089852
89,0.5,0,1,1749725985767.0,1749725985767.0,1749725985767.0,,12,12.163285153355039,2.9984373276882703,2.993322719375731,2,1.1480609855868207,1.1103420615133675,1.072623137439914,0.03771892407345334,2.161423635898512,12,18.307580850224966,201.3833893524746,12,658.3919639980741,230.34690591558135,64.71707271676915,192.70263702628108,0,0.0,0.0,0,False,10,9,10,1749725991284.0,1749725989384.3,1749725987759.0,0,0,0.0,0,1.3592439242358294,127.39455114732753,10.63014581273465,7,-8,1.0,False,0,,,0,0.0,0.0,127.39455114732753,127.39455114732753,127.39455114732753,1.3941606584831026
107,0.5,0,1,1749726008801.0,1749726008801.0,1749726008801.0,,16,18.172417648663963,4.068051496382375,5.078694992842869,2,1.5193509365531934,0.9238985404626082,0.328446144372023,0.5954523960905852,1.982318436300816,14,16.70448288156301,217.15827746031914,16,978.5082567872644,267.0855455570902,20.148065883258752,282.5977799562721,0,0.0,0.0,0,False,10,9,10,1749726012829.0,1749726011654.3,1749726010643.0,1,0,0.0,0,1.1437263922094378,103.19985492359086,5.830951894845301,5,-3,1.0,False,0,,,0,0.0,0.0,103.19985492359086,103.19985492359086,103.19985492359086,1.6692611980384822
176,0.5,0,1,1749726024138.0,1749726024138.0,1749726024138.0,,20,17.871139333035924,4.062821896775706,4.04017220418473,3,0.8285556550514086,0.7000586486887181,0.597746860676497,0.09602924601476497,2.0222523318025356,18,14.344228460145583,243.85188382247492,20,934.4625909295897,229.85018929604735,15.456044772454767,204.3574977059816,0,0.0,0.0,0,False,10,9,10,1749726030494.0,1749726027047.6,1749726025008.0,0,0,0.0,0,1.3536020053666202,51.62900974846694,13.416407864998739,12,6,1.0,False,0,,,0,0.0,0.0,51.62900974846694,51.62900974846694,51.62900974846694,1.3941579069925014
146,0.5,0,1,1749726408213.0,1749726408213.0,1749726408213.0,,17,7.815916794867873,2.7396028997536916,2.2762742318922666,3,2.196430665514696,1.1900542139863368,0.6264403854575746,0.7133238746004849,1.9674680351029563,15,14.909959789183846,208.73943704857385,17,1245.328871255108,222.46159949366213,17.47100235178856,278.2301651498303,0,0.0,0.0,0,False,10,9,10,1749726412510.0,1749726410859.8,1749726409334.0,1,0,0.0,0,0.9371882924114026,40.741003991419674,9.219544457292887,9,2,1.0,False,0,,,0,0.0,0.0,40.741003991419674,40.741003991419674,40.741003991419674,1.562786477576506
145,0.5,0,1,1749726425369.0,1749726425369.0,1749726425369.0,,17,12.294523287740535,5.139040106126511,3.130363047848559,3,1.2204614454353595,0.9555064445095427,0.7394338807082591,0.1993974239239258,2.163765337763846,15,15.966333449929682,223.52866829901555,17,635.1774664796084,294.5654206209299,41.19001889452615,148.97434782636407,0,0.0,0.0,0,False,11,10,11,1749726428390.0,1749726427346.0,1749726426249.0,1,0,0.0,0,1.2658695174059102,141.54818453315923,8.246211251235321,8,-2,1.0,False,0,,,0,0.0,0.0,141.54818453315923,141.54818453315923,141.54818453315923,1.8898716038688188
169,0.5,0,1,1749726435292.0,1749726435292.0,1749726435292.0,,22,12.22174237220052,3.8270004034594334,3.51234894188806,4,1.8953526507616252,1.0988677385057868,0.3055183778116117,0.7464119687455562,1.9996619243527105,20,14.987716954908915,284.7666221432694,22,821.6466890545094,256.1244706138198,15.104571712992378,210.88158817757508,0,0.0,0.0,0,False,17,16,17,1749726440503.0,1749726438231.2942,1749726436024.0,1,0,0.0,0,0.42592452124884017,108.93869798950908,6.4031242374328485,5,4,1.0,False,0,,,0,0.0,0.0,108.93869798950908,108.93869798950908,108.93869798950908,1.585872423707529
9,0.0,0,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,True,9,8,9,1749726711842.0,1749726711114.6667,1749726710358.0,1,0,0.0,0,,0.0,0.0,0,0,,False,0,,,0,0.0,0.0,0.0,0.0,0.0,1.4754782861896418
23,0.0,0,0,0.0,0.0,0.0,,5,3.911473832063298,1.69502792775014,1.4716595152768603,0,0.0,0.0,0.0,0.0,2.2450352741261774,4,7.765426785743053,23.296280357229158,5,195.67369160316488,124.0496118993201,29.438669933407425,63.171590539128985,0,0.0,0.0,0,True,9,8,9,1749726748581.0,1749726747848.2222,1749726747124.0,0,0,0.0,0,0.6931480794698489,29.438669933407425,7.280109889280518,-2,-7,0.0,False,0,,,0,0.0,0.0,29.438669933407425,29.438669933407425,29.438669933407425,1.2774292919687569
